Running...
Motion detected
         19638 function calls (19627 primitive calls) in 12.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    4.004    2.002    4.004    2.002 {time.sleep}
       84    3.967    0.047    3.967    0.047 {built-in method decode}
       18    1.788    0.099    1.788    0.099 {method 'acquire' of 'thread.lock' objects}
        2    0.596    0.298    0.597    0.298 camera.py:259(_init_camera)
        2    0.583    0.291    0.593    0.296 camera.py:488(_enable_camera)
        1    0.133    0.133    0.152    0.152 picamera_detection.py:6(checkForDifference)
        2    0.091    0.046    0.091    0.046 camera.py:550(close)
        8    0.091    0.011    0.092    0.011 camera.py:413(_connect_ports)
        1    0.091    0.091    0.190    0.190 mmal.py:34(<module>)
        1    0.057    0.057    0.118    0.118 mimetypes.py:205(readfp)
        1    0.056    0.056    0.058    0.058 socket.py:45(<module>)
        2    0.033    0.016    4.023    2.011 ImageFile.py:124(load)
        2    0.032    0.016    0.032    0.016 camera.py:474(_disable_camera)
        1    0.028    0.028    0.034    0.034 Image.py:27(<module>)
      667    0.026    0.000    0.034    0.000 mimetypes.py:78(add_type)
      130    0.022    0.000    0.022    0.000 {method 'read' of '_io.BytesIO' objects}
        2    0.021    0.011    0.022    0.011 encoders.py:282(close)
        1    0.021    0.021    0.171    0.171 urllib.py:23(<module>)
        1    0.021    0.021    0.033    0.033 __init__.py:4(<module>)
        4    0.018    0.005    0.019    0.005 camera.py:453(_reconfigure_splitter)
     7500    0.018    0.000    0.018    0.000 {abs}
        1    0.017    0.017    0.354    0.354 camera.py:30(<module>)
        1    0.016    0.016    0.207    0.207 exc.py:30(<module>)
        2    0.016    0.008    0.022    0.011 collections.py:287(namedtuple)
        1    0.016    0.016   12.249   12.249 picamera_detection.py:1(<module>)
      485    0.016    0.000    0.019    0.000 urlparse.py:320(<genexpr>)
      485    0.014    0.000    0.017    0.000 urllib.py:1199(<genexpr>)
      188    0.014    0.000    0.014    0.000 {_ctypes.POINTER}
        2    0.014    0.007    0.026    0.013 camera.py:363(_init_preview)
      832    0.013    0.000    0.013    0.000 {method 'readline' of 'file' objects}
        2    0.013    0.006    0.019    0.009 encoders.py:436(_create_encoder)
        2    0.013    0.006    0.017    0.008 encoders.py:231(start)
        1    0.012    0.012    0.574    0.574 __init__.py:51(<module>)
        2    0.012    0.006    0.025    0.013 Image.py:290(preinit)
       88    0.011    0.000    0.013    0.000 __init__.py:382(__getitem__)
      835    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
        3    0.010    0.003    0.010    0.003 {_ctypes.dlopen}
       10    0.010    0.001    0.027    0.003 encoders.py:511(_add_exif_tag)
        2    0.010    0.005    0.033    0.017 camera.py:343(_init_splitter)
        1    0.009    0.009    0.063    0.063 urlparse.py:29(<module>)
      870    0.009    0.000    0.009    0.000 {range}
        9    0.009    0.001    0.009    0.001 __init__.py:78(CFUNCTYPE)
        1    0.009    0.009    0.022    0.022 encoders.py:30(<module>)
        1    0.008    0.008    0.013    0.013 collections.py:1(<module>)
     1250    0.008    0.000    0.008    0.000 {chr}
        1    0.007    0.007    0.178    0.178 mimetypes.py:24(<module>)
       10    0.007    0.001    0.007    0.001 __init__.py:52(create_string_buffer)
        1    0.007    0.007   11.609   11.609 picamera_detection.py:39(main)
        1    0.007    0.007    0.016    0.016 io.py:34(<module>)
      475    0.007    0.000    0.008    0.000 mmal.py:76(<genexpr>)
        2    0.006    0.003    0.632    0.316 camera.py:1310(_set_resolution)
        2    0.006    0.003    0.027    0.013 camera.py:592(start_preview)
        2    0.006    0.003    0.006    0.003 encoders.py:103(_create_encoder)
        2    0.006    0.003    1.796    0.898 encoders.py:255(wait)
      166    0.005    0.000    0.005    0.000 exc.py:77(mmal_check)
      667    0.004    0.000    0.004    0.000 {method 'setdefault' of 'dict' objects}
       88    0.004    0.000    0.019    0.000 __init__.py:375(__getattr__)
        1    0.004    0.004    0.006    0.006 base64.py:3(<module>)
      215    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
      717    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.004    0.004    0.014    0.014 threading.py:1(<module>)
        2    0.004    0.002    0.008    0.004 camera.py:2006(_set_hflip)
        2    0.004    0.002    0.008    0.004 camera.py:1967(_set_vflip)
        1    0.004    0.004    0.004    0.004 heapq.py:31(<module>)
        2    0.004    0.002    0.004    0.002 camera.py:1455(_set_contrast)
      987    0.004    0.000    0.004    0.000 {len}
        2    0.004    0.002    0.004    0.002 camera.py:1490(_set_brightness)
      172    0.003    0.000    0.003    0.000 {isinstance}
       95    0.003    0.000    0.014    0.000 mmal.py:75(MMAL_FOURCC)
        6    0.003    0.001    0.004    0.001 camera.py:1956(_get_vflip)
        6    0.003    0.001    0.003    0.001 camera.py:1995(_get_hflip)
       95    0.003    0.000    0.011    0.000 {sum}
       14    0.003    0.000    0.003    0.000 __init__.py:501(cast)
        2    0.002    0.001    0.003    0.001 camera.py:1931(_set_rotation)
        1    0.002    0.002    0.003    0.003 ImagePalette.py:19(<module>)
        1    0.002    0.002    0.004    0.004 BmpImagePlugin.py:27(<module>)
        2    0.002    0.001    0.002    0.001 {_ctypes.pointer}
